"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"12-07-2016";"21:00";18,9;17,7;93;260;20,5;;57,6;8,5;1013,5;977,5;0
11012;"Kremsmünster";383;"12-07-2016";"21:00";18,1;16,5;91;237;16,6;260;36,4;4,6;1014;969,2;0
11022;"Retz";320;"12-07-2016";"21:00";19,6;18,4;93;305;3,6;336;22;0;1009,6;973;0
11035;"Wien/Hohe Warte";203;"12-07-2016";"21:00";20,1;18,7;92;30;3,6;258;10,4;0,3;1009,5;985,6;0
11036;"Wien/Schwechat";183;"12-07-2016";"21:00";20,1;17,9;87;240;9,4;;22,3;0,5;1010,1;989;0
11101;"Bregenz";424;"12-07-2016";"21:00";16,2;15,2;94;141;5,8;177;15,8;0,2;1014,7;964,2;0
11121;"Innsbruck";579;"12-07-2016";"21:00";15,9;15,2;96;249;16,9;253;25,6;6,4;1015,9;948,9;0
11126;"Patscherkofel";2247;"12-07-2016";"21:00";6,3;6,3;100;323;31,7;315;49,7;9,5;;777,4;0
11130;"Kufstein";495;"12-07-2016";"21:00";15,8;15;95;226;1,8;242;9;2;1015,1;958,4;0
11150;"Salzburg";430;"12-07-2016";"21:00";16,7;14,9;89;160;13;;18,4;0;1014,5;963,2;0
11155;"Feuerkogel";1618;"12-07-2016";"21:00";10,2;10,1;100;316;22,7;303;55,8;4,2;;838,1;0
11157;"Aigen im Ennstal";640;"12-07-2016";"21:00";16,6;14,9;91;239;8,3;277;52,6;6,3;1013,6;939,6;0
11171;"Mariazell";866;"12-07-2016";"21:00";16,9;15,8;94;316;5;165;23;0;1010,5;914,2;0
11190;"Eisenstadt";184;"12-07-2016";"21:00";20;18,1;89;332;7,6;298;29,5;0;1008,9;987,9;0
11204;"Lienz";659;"12-07-2016";"21:00";18,1;17;94;247;5,4;235;11,5;0;1011;935,9;0
11240;"Graz/Flughafen";340;"12-07-2016";"21:00";21,9;18,7;83;300;5,4;;11,2;0;1009,7;968,6;0
11244;"Bad Gleichenberg";280;"12-07-2016";"21:00";23,1;18,7;76;63;2,5;57;19,8;0;1009,6;978,9;0
11265;"Villacher Alpe";2140;"12-07-2016";"21:00";11,6;;;;;;;0;;785,9;0
11331;"Klagenfurt/Flughafen";447;"12-07-2016";"21:00";24;17,1;65;332;4,3;316;13,7;0;1009;958,5;21
11343;"Sonnblick";3105;"12-07-2016";"21:00";4,8;4,7;100;216;25,9;246;38,5;;;699,3;0
11389;"St. Pölten";270;"12-07-2016";"21:00";20,2;18,3;90;44;11,5;51;23,4;0,3;1007,8;977;0
